time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-17 16:00:05.212 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200318464,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,154,89,29404736,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:01:05.217 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200343040,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,153,87,92355136,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:02:05.220 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200330752,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,146,70,47302720,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:03:05.220 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200388096,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,155,79,96625728,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:04:05.222 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200384000,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,137,63,16972352,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:05:05.224 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200384000,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,155,78,59997760,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:06:05.225 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200384000,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,157,87,47450688,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:07:05.226 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200252928,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,156,81,96767552,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:08:05.228 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200248832,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,156,78,70592576,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 16:09:05.230 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21199880192,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,138,64,94742592,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
