time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-16 17:48:56.978 UTC, ,125,3160893,1080,15040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,21394862080,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,1298, , , ,10,4,33,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,25417680,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-16 17:49:56.983 UTC, ,125,3173261,1648,27248,160, ,6, ,210, , , , , , , , , ,6,6, , , , ,4,6, ,75, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,21394849792,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,2808, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26025920,-1, , , , , , ,402, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33, ,195,67,12,1, , , , , , 
2019-05-16 17:50:56.986 UTC, ,125,3173261,1648,27248,160, ,6, , , , , , , , , , , ,6,6, , , , ,4,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,21394726912,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,2808, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26025920,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-16 17:51:56.988 UTC, ,125,3173261,1648,27248,160, ,6, , , , , , , , , , , ,6,6, , , , ,4,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,21394726912,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,2808, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26634136,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-16 17:52:56.990 UTC, ,125,3173261,1648,27248,160, ,6, , , , , , , , , , , ,6,6, , , , ,4,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,21394681856,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,2808, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26634136,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-16 17:53:56.993 UTC, ,125,3173261,1648,27248,160, ,6, ,12, , , , , , , , , ,6,6, , , , ,4,6, ,4, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,21394681856,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,2808, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26634136,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , 
2019-05-16 17:54:56.995 UTC, ,125,3173261,1648,27248,160, ,6, , , , , , , , , , , ,6,6, , , , ,4,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,21394681856,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558028936251, , , , ,3145728,2808, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26634136,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-16 17:55:07.760 UTC, ,125,3158773,952,12920, , ,3, ,20,3,0.15, , , , , , , ,3,3, ,2, ,2,1,5, ,17,8, , , , , , , , , , , , , ,1218,1, ,573, , , , , , ,-1,-1, , , , , ,1,21, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558029307002, , , , ,3145728,1218, , ,15,0, , , ,2, , , ,3, , , , ,15, ,2048,1, , , , ,98681,26, , , , , , , , , , ,26543528,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-16 17:56:07.764 UTC, ,125,3172237,1648,26224,160, ,6, ,153, , , , , , , , , ,6,6, , , ,2,4,6, ,51, , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,21394485248,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558029307002, , , , ,3145728,2877, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27759928,-1, , , , , , ,243, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33, ,93,43,12,1, , , , , , 
2019-05-16 17:57:07.766 UTC, ,125,3172237,1648,26224,160, ,6, ,72, , , , , , , , , ,6,6, , , ,2,4,6, ,28, , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,21394481152,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558029307002, , , , ,3145728,2877, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27759928,-1, , , , , , ,176, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,102,32, , , , , , , , 
